"BookName","Edition","ISBN13","ISBN10","Author1","Description"
"FINANCIAL+MANAGERIAL ACC W/ACCESS"," Edition","9781260119688","1260119688","Wild","With the seventeenth edition of Financial and Managerial Accounting: The Basis for Business Decisions, the Williams author team continues to be a solid foundation for students who are learning basic accounting concepts. Hallmarks of the text?including the solid Accounting Cycle Presentation, relevant pedagogy, and high quality, end-of-chapter material?have been updated throughout the book."
"FIN.ACCTG.: ACC 101: CUSTOM TEXT+CONNEC","9th Edition","9781307292664","1307292666","Libby",
"COST ACCOUNTING W18 CUSTOM W/ACCESS"," Edition","9781323831427","1323831428","Horngren",
"MANAGERIAL ACCTG-LOOSELEAF TEXT+CODE","14th Edition","9781269866774","126986677X","Braun",
"CUSTOM COST ACCOUNTING 15E","15th Edition","9781269831338","126983133X","Horngren",
"ACP INTERMEDIATE ACCOUNTING  VOL. 1 >C","16th Edition","9781119349761","1119349761","Kieso",
"EBK HORNGREN'S COST ACCOUNTING","16th Edition","9780134475950","013447595X","Datar","For undergraduate and MBA Cost or Management Accounting courses.


The text that defined the cost accounting market

Horngren?s Cost Accounting defines the cost accounting market and continues to innovate today by consistently integrating the most current practice and theory into the text. This acclaimed, market-leading text emphasizes the basic theme of ?different costs for different purposes,? and reaches beyond cost accounting procedures to consider concepts, analyses, and management. The 16th Edition incorporates the latest research and most up-to-date thinking into all relevant chapters, so that readers are prepared for the rewards and challenges they will face in the professional cost accounting world of today and tomorrow."
"Managerial Accounting, Student Value Edition (4th Edition)","4th Edition","9780133428469","013342846X","Karen W. Braun, Wendy M. Tietz","Package consists of: 0132773988 / 9780132773980 MyAccountingLab with Pearson eText -- Access Card -- for Managerial Accounting 0136117392 / 9780136117391 Managerial Accounting, Student Value Edition"
"Horngren's Accounting: The Managerial Chapters, Student Value Edition Plus Mylab Accounting With Pearson Etext - Access Card Package (12th Edition)","12th Edition","9780134643168","013464316X","MILLER-NOBLES, Tracie L.; Mattison, Brenda L.; Matsumura, Ella Mae","Horngren?s Accounting, The Managerial Chapters present the core principles of accounting in a fresh format designed to help today?s learners succeed. As teachers first, the author team knows the importance of delivering a reader experience free of obstacles. Their pedagogy and content uses leading methods in teaching critical foundational topics and concentrates on improving results--all tested in class by the authors themselves. With this in mind, the 12th Edition continues to focus on readability and comprehension, and takes this a step further in the managerial chapters by employing a new theme to help readers see how managerial accounting is used as a tool to help all business people make decisions. By providing more meaningful learning tools, this title helps readers clear hurdles like never before."
"INTERMED. ACC. (LL) W/ 2 YR CONNECT >I","9th Edition","9781260204896","1260204898","SPICELAND",
"CONNECT PLUS-FINANCIAL & MANAGERIAL AC","7th Edition","9781260004830","126000483X","Wild","Wild?s Financial and Managerial Accounting responds to the market?s request for a single book with balanced financial and managerial content (~50/50) that has a corporate approach throughout. Its innovation is reflected in its extensive use of small business examples, the integration of new technology learning tools, superior end-of-chapter material, and a highly engaging, pedagogical design. Inclusion of Connect, Connect Plus and QuickBooks and Peachtree application software provides students every advantage as they strive to understand the key concepts of accounting and their role in business."
"MATH IN OUR WORLD CONNECT ACCESS CARD","3rd Edition","9781260410662","1260410668","sobecki",
"DEPAUL>CUSTOM< ED.ACC 303/ ACC 542>CUS","4th Edition","9781323770429","1323770429","Horngren",
"FUNDAMENTALS ACCT.PRIN.(LL) >CUSTOM<","23rd Edition","9781260673425","1260673421","Wild",
"Financial Accounting, Student Value Edition (4th Edition)","4th Edition","9780134114811","134114817","Robert Kemp, Jeffrey Waybright","Financial Accounting, Student Value Edition 4th Plastic wrap removed, but otherwise exactly like new. Includes access card - opened but not used."
"MANAGERIAL ACCT.(LL)-W/ACCESS >CUSTOM<","16th Edition","9781260228847","1260228843","Garrison","As the long-time #1 best-seller, Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organisations - plan operations, control activities, and make decisions - and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. Garrison's Managerial Accounting is known for its relevance, accuracy, and clarity. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual, test bank, instructor's manual, and study guide making them both of high quality and extremely consistent with the textbook."
